car_rot,product,mode,g10,delta_vs_reference
2294,reference,sinlat,-0.2138952996399179,0.0
2294,phi,zero,0.3090867748748468,0.5229820745147649
2294,phi,project,0.4689265600475918,0.6828218596875097
2294,phi,polar_extend,-3.862919984780956,-3.649024685141038
2294,hmi,zero,0.236471106636819,0.4503664062767369
2294,hmi,project,0.35248496605632,0.566380265696238
2294,hmi,polar_extend,-0.1896932366753423,0.0242020629645755
2294,merged,zero,0.329103189146173,0.542998488786091
2294,merged,project,0.4992941753961978,0.7131894750361158
2294,merged,polar_extend,2.6777702615368004,2.891665561176718
2295,reference,sinlat,-0.1656608044383359,0.0
2295,phi,zero,0.7198751543733741,0.8855359588117101
2295,phi,project,0.9831833719519032,1.1488441763902393
2295,phi,polar_extend,-0.8660615680405824,-0.7004007636022465
2295,hmi,zero,0.255444297301925,0.421105101740261
2295,hmi,project,0.335483273305272,0.501144077743608
2295,hmi,polar_extend,-0.2805591283446802,-0.1148983239063442
2295,merged,zero,0.7009270248029149,0.8665878292412509
2295,merged,project,0.9586971258455682,1.1243579302839042
2295,merged,polar_extend,-1.2139630535693762,-1.0483022491310403
2296,reference,sinlat,-0.181436539834105,0.0
2296,phi,zero,0.3990522141914154,0.5804887540255205
2296,phi,project,0.5586528633544448,0.7400894031885498
2296,phi,polar_extend,0.2891753713929257,0.4706119112270307
2296,hmi,zero,0.1323890543307903,0.3138255941648953
2296,hmi,project,0.1736862377633019,0.3551227775974069
2296,hmi,polar_extend,-0.1566258162197729,0.0248107236143321
2296,merged,zero,,
2296,merged,project,,
2296,merged,polar_extend,,
2297,reference,sinlat,-0.388422022489069,0.0
2297,phi,zero,0.2097740162445515,0.5981960387336205
2297,phi,project,0.2900010426513115,0.6784230651403805
2297,phi,polar_extend,0.9497605882162844,1.3381826107053534
2297,hmi,zero,0.0891130143143,0.477535036803369
2297,hmi,project,0.1145641165401945,0.5029861390292636
2297,hmi,polar_extend,0.0153516691637192,0.4037736916527883
2297,merged,zero,,
2297,merged,project,,
2297,merged,polar_extend,,
2298,reference,sinlat,-0.5684180871029451,0.0
2298,phi,zero,0.0797159138614848,0.6481340009644299
2298,phi,project,0.1059573374421834,0.6743754245451284
2298,phi,polar_extend,-0.0548917870186849,0.51352630008426
2298,hmi,zero,-0.0110878238558714,0.5573302632470736
2298,hmi,project,-0.0141852721389308,0.5542328149640142
2298,hmi,polar_extend,-0.3767678803307991,0.1916502067721459
2298,merged,zero,,
2298,merged,project,,
2298,merged,polar_extend,,
2299,reference,sinlat,-0.5182141016830634,0.0
2299,phi,zero,-0.1656484999498624,0.3525656017332009
2299,phi,project,-0.2136412951004127,0.3045728065826507
2299,phi,polar_extend,-0.765677650807301,-0.2474635491242376
2299,hmi,zero,-0.0310053287563963,0.487208772926667
2299,hmi,project,-0.0398368614947564,0.4783772401883069
2299,hmi,polar_extend,-0.4642666788289284,0.0539474228541349
2299,merged,zero,,
2299,merged,project,,
2299,merged,polar_extend,,
